Ground state wavefunction;https://www.youtube.com/watch?v=vnyxYtj0mfE
Number operator and commutators;https://www.youtube.com/watch?v=kefsxztSX74
Excited states of the harmonic oscillator;https://www.youtube.com/watch?v=xmjvqbYvY9o
Creation and annihilation operators acting on energy eigenstates;https://www.youtube.com/watch?v=BRFekCz4XQY
Scattering states and the step potential;https://www.youtube.com/watch?v=0ABYYJSvkVk
Step potential probability current;https://www.youtube.com/watch?v=z79v39lMR3k
Reflection and transmission coefficients;https://www.youtube.com/watch?v=bX-k26w-tsU
Energy below the barrier and phase shift;https://www.youtube.com/watch?v=EkpbxgEslE4
Wavepackets;https://www.youtube.com/watch?v=NXPvXI603RA
Wavepackets with energy below the barrier;https://www.youtube.com/watch?v=yqrMAZkQOwI
Particle on the forbidden region;https://www.youtube.com/watch?v=lA8-N_ARHTw
Waves on the finite square well;https://www.youtube.com/watch?v=EdRkQmmq7vk
Resonant transmission;https://www.youtube.com/watch?v=KkSr0SvXfNY
Ramsauer-Townsend phenomenology;https://www.youtube.com/watch?v=5u-9lFhCl5w
Scattering in 1D. Incoming and outgoing waves;https://www.youtube.com/watch?v=twdF0EIbFds
Scattered wave and phase shift;https://www.youtube.com/watch?v=w49WAat6ymk
Incident packet and delay for reflection;https://www.youtube.com/watch?v=EJWG9-etPFw
Phase shift for a potential well;https://www.youtube.com/watch?v=sWmY5KME7oo
Excursion of the phase shift;https://www.youtube.com/watch?v=Cb_3sOYLjUI
Levinson's theorem, part 1;https://www.youtube.com/watch?v=GyukKStk6Ls
Levinson's theorem, part 2;https://www.youtube.com/watch?v=yhI3jTX4dY4
Time delay and resonances;https://www.youtube.com/watch?v=mnvYIEbJXlM
Effects of resonance on phase shifts, wave amplitude and time delay;https://www.youtube.com/watch?v=VY-_xLxHQbA
Modelling a resonance;https://www.youtube.com/watch?v=8Dxo4LPK_9w
Half-width and time delay;https://www.youtube.com/watch?v=OQMczXtDnpU
Resonances in the complex k plane;https://www.youtube.com/watch?v=0T83-47Vi-M
Translation operator. Central potentials;https://www.youtube.com/watch?v=sPsDI0dICtc
Angular momentum operators and their algebra;https://www.youtube.com/watch?v=xoCHe0mtxu0
Commuting observables for angular momentum;https://www.youtube.com/watch?v=Mh8vUEStCQ8
Simultaneous eigenstates and quantization of angular momentum;https://www.youtube.com/watch?v=lWTUcojZ_gQ
Associated Legendre functions and spherical harmonics;https://www.youtube.com/watch?v=Lt2Y6fLJ09Q
Orthonormality of spherical harmonics;https://www.youtube.com/watch?v=gKSRrTik1SA
Effective potential and boundary conditions at r=0;https://www.youtube.com/watch?v=_XDm2cxC-UU
Hydrogen atom two-body problem;https://www.youtube.com/watch?v=7q32Wnm4dEw
Center of mass and relative motion wavefunctions;https://www.youtube.com/watch?v=dVWKsiaAZ14
Scales of the hydrogen atom;https://www.youtube.com/watch?v=GWMeYKUvj7Y
Schrödinger equation for hydrogen;https://www.youtube.com/watch?v=KfbvrGt3MlI
Series solution and quantization of the energy;https://www.youtube.com/watch?v=3VXLIF2DpHI
Energy eigenstates of hydrogen;https://www.youtube.com/watch?v=Z4CSAWrzguY
Energy levels and diagram for hydrogen;https://www.youtube.com/watch?v=8cRnBhBaSOo
Degeneracy in the spectrum and features of the solution;https://www.youtube.com/watch?v=Ot9OjT34gkA
Rydberg atoms;https://www.youtube.com/watch?v=avQ2XUzbsgk
Orbits in the hydrogen atom;https://www.youtube.com/watch?v=c5yzy1S3gPg
More on the hydrogen atom degeneracies and orbits;https://www.youtube.com/watch?v=fXlzY2l1-4w
The simplest quantum system;https://www.youtube.com/watch?v=-8mPXAsX3DY
Hamiltonian and emerging spin angular momentum;https://www.youtube.com/watch?v=8NKsBpjXRt0
Eigenstates of the Hamiltonian;https://www.youtube.com/watch?v=3Cij8HYKXOk
